variant,n_counters,pct,pct_lo,pct_hi,abs_per_day,abs_lo,abs_hi,base_level
"main (150m, disruptive)",55,-0.08715518547095406,-3.524633911677092,3.0888163187088207,-1.9654285882397626,-79.48369584272388,69.65561330409916,2255.090821755838
radius 300m,91,-2.4100681959020416,-8.840912623973091,6.55666702011389,-48.21925602376108,-176.88388653230757,131.18201644376734,2000.7423900182855
long sites (>=60d),55,-0.08715518547095406,-3.524633911677092,3.0888163187088207,-1.9654285882397626,-79.48369584272388,69.65561330409916,2255.090821755838
roadway-only,51,-0.8909891317697171,-3.8836024734566563,2.4811659339907215,-20.40533361989503,-88.94183025614547,56.823385206548814,2290.1888353413656
surface-only (>=100m2),30,2.8762474739017936,-1.7458217318512357,9.852704794085538,58.635848065604065,-35.590726718515334,200.85952498292363,2038.6231921157046
PLACEBO (event -120d),50,-0.02588867829695061,-3.4224868336061025,4.121487115106392,-0.6229024766278823,-82.34779313282559,99.16630358422253,2406.0806406685238
